ObjectID,NLFID,CTL_BEGIN_NBR,CTL_END_NBR,JURISDICTION,ROUTE_TYPE,ROUTE_NBR,LENGTH_OF_SEGMENT,ODOT_DISTRICT,COUNTY_CD,COUNTY,AADT_TOTAL,AADT_TRUCK,LANES,ROADWAY_WIDTH_NBR,PAVE_TYPE_CODE,PAVE_TYPE_COMPOSITE,PAVE_TYPE__JCP,PREDICTED_PCR_YEAR,PREDICTED_PCR_NBR,PCR_DIRECTION_TO_USE,ACTUAL_PCR_YEAR,ACTUAL_PCR_DOWN,ACTUAL_PCR_NBR,ACTUAL_PCR_UP,PROJECT_ACTIVITY,PROJECT_YEAR,PID,PROJECT_1_ACTIVITY,PROJECT_1_COST,PROJECT_1_YEAR,PROJECT_2_ACTIVITY,PROJECT_2_COST,PROJECT_2_YEAR,PROJECT_3_ACTIVITY,PROJECT_3_COST,PROJECT_3_YEAR,PAVE_TYPE,BASE_FAILURE,BASE_FAILURE_VALUE,BLEEDING,BLEEDING_VALUE,BLOCK_TRANS_CRK,BLOCK_TRANS_CRK_VALUE,BRICK_DETERIORATION,BRICK_DETER_VALUE,CORNER_BREAK,CORNER_BREAK_VALUE,CORRUGATION,CORRUGATION_VALUE,CROWN,CROWN_VALUE,CRACK_SEAL_DEFICIENCY,CRACK_SEAL_DEF_VALUE,DISCOLORATION,DISCOLORATION_VALUE,DRAINAGE,DRAINAGE_VALUE,DUST,DUST_VALUE,EDGE_CRACKING,EDGE_CRACKING_VALUE,FAULTING,FAULTING_VALUE,GRAVEL_LAYER,GRAVEL_LAYER_VALUE,JOINT_REF_CRK,JOINT_REF_CRK_VALUE,JOINT_SLT_DMG,JOINT_SLT_DMG_VALUE,JOINT_EROSION,JOINT_EROSION_VALUE,JOINT_SPALLING,JOINT_SPALLING_VALUE,LONGITUDINAL_JOINT_CRACKING,LONG_JOINT_CRK_VALUE,LONG_JOINT_SPAL,LONG_JOINT_SPAL_VALUE,LONGITUDINAL_CRACKING,LONG_CRACKING_VALUE,LOOSE_AGGREGATE,LOOSE_AGGREGATE_VALUE,MAP_CRACKING,MAP_CRACKING_VALUE,INTER_TRANS_CRK,INTER_TRANS_CRK_VALUE,PATCHING,PATCHING_VALUE,POPOUT,POPOUT_VALUE,POTHOLE,POTHOLE_VALUE,PRESSURE_DAMAGE,PRESSURE_DAMAGE_VALUE,PUMPING,PUMPING_VALUE,PUNCHOUT,PUNCHOUT_VALUE,RANDOM_CRACKING,RANDOM_CRACKING_VALUE,RAVELING,RAVELING_VALUE,RUTTING,RUTTING_VALUE,SURF_DIS_OR_DEBOND,SURF_DIS_OR_DEBOND_VALUE,SETTLEMENT,SETTLEMENT_VALUE,SHATTERED_SLAB,SHATTERED_SLAB_VALUE,SPALLING,SPALLING_VALUE,SURFACE_DETERIORATION,SURFACE_DETER_VALUE,TRANSVERSE_CRK,TRANSVERSE_CRK_VALUE,TRANS_CRK_PL_CONC,TRANS_CRK_PL_CONC_VALUE,TRANS_CRK_RF_CONC,TRANS_CRK_RF_CONC_VALUE,THERMAL_CRACKING,THERMAL_CRACKING_VALUE,TRANS_CRK_UJ_BASE,TRANS_CK_UJ_BASE_VALUE,WASHBOARD,WASHBOARD_VALUE,WHEEL_TRACK_CRK,WHEEL_TRACK_CRK_VALUE,DIVIDED_HWY,ACCESS_CONTROL,URBAN_AREA_CODE,BASE_TYPE,FUNCTIONAL_CLASS,HPMS_SAMPLE_ID,MAINTENANCE_AUTHORITY,NHS,PRIORITY_SYSTEM,SURFACE_TYPE,SURFACE_WIDTH,ESAL_TOTAL,LEFT_MUNI_NAME,RIGHT_MUNI_NAME,LEFT_TWP_NAME,RIGHT_TWP_NAME,created_user,created_date,last_edited_user,last_edited_date,Shape.STLength()
3273177,SASDSR00060**C,10.461,10.52,S,SR,00060,0.059,03,ASD,ASHLAND,5133,531,2,20,3,?,?,2019,75,UP,2018,-1,78,78,38,2015,NA,Nul,-1,0,Nul,-1,0,Nul,-1,0,FLEX,NA,NA,NA,0,LE,4,NA,NA,NA,NA,NA,0,NA,NA,E,5,NA,NA,NA,NA,NA,NA,LO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,LF,2.4,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LF,2.8,NA,NA,NA,NA,LF,4.2,N,3,99999,I,4,NA,NA,NA,G,G,20,123130,NA,NA,VERMILLION,VERMILLION,TIMS@D31_AG,2020-01-14T14:17:45Z,TIMS@P31_AG,2020-01-14T14:17:45Z,126.064572
3273178,SALLSR00309**C,6.338,6.48,S,SR,00309,0.142,01,ALL,ALLEN,12124,412,2,35,4,J,?,2023,72,UP,2018,-1,90,90,52,2016,NA,Nul,-1,0,Nul,-1,0,Nul,-1,0,COMP,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,E,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MO,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MO,1.2,NA,NA,NA,NA,LO,0.64,NA,0,NA,NA,NA,NA,NA,0,O,3,NA,0,NA,NA,LE,3,LE,3,NA,NA,NA,0,LO,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,N,3,49852,N,3,NA,NA,NA,G,G,36,NA,ELIDA,ELIDA,NA,NA,TIMS@D31_AG,2020-01-14T14:17:45Z,TIMS@P31_AG,2020-01-14T14:17:45Z,301.728401
3273179,SALLIR00075**C,15.77,15.869,S,IR,00075,0.099,01,ALL,ALLEN,36021,12583,4,76,4,J,?,2021,95,UP,2018,73,69,69,60,2010,94214,60,1257642.92,2020,Nul,0,0,Nul,0,0,COMP,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,LO,1.5,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Y,1,99999,P,1,NA,NA,N,P,G,48,NA,NA,NA,BATH,BATH,TIMS@D31_AG,2020-01-14T14:17:45Z,TIMS@P31_AG,2020-01-14T14:17:45Z,210.481419
3273180,SADASR00348**C,0,2.706,S,SR,00348,2.706,09,ADA,ADAMS,597,83,2,22,3,?,?,2019,78,UP,2018,-1,79,79,50,2009,NA,Nul,-1,0,Nul,-1,0,Nul,-1,0,FLEX,NA,NA,NA,0,LO,2,NA,NA,NA,NA,NA,0,NA,NA,E,5,NA,NA,NA,NA,NA,NA,LF,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MF,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,LE,3,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,LF,4.2,N,3,99999,I,5,NA,NA,NA,G,G,18,NA,NA,NA,TIFFIN,TIFFIN,TIMS@D31_AG,2020-01-14T14:17:45Z,TIMS@P31_AG,2020-01-14T14:17:45Z,5585.933287
3273181,SASDSR00039**C,2.907,3.59,S,SR,00039,0.683,03,ASD,ASHLAND,2256,364,2,29,3,?,?,2023,88,UP,2018,-1,84,84,60,2016,101438,30,261690.46,2021,Nul,0,0,Nul,0,0,FLEX,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,LO,1.5,LO,1.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,N,3,99999,I,5,NA,NA,NA,G,G,24,109722,NA,NA,GREEN,GREEN,TIMS@D31_AG,2020-01-14T14:17:45Z,TIMS@P31_AG,2020-01-14T14:17:45Z,1452.404784
3273182,SALLUS00030**C,17.94,18.19,S,US,00030,0.25,01,ALL,ALLEN,11767,5091,4,77,4,J,?,2023,95,UP,2018,89,89,89,60,2012,94251,38,1682900.98,2022,Nul,0,0,Nul,0,0,COMP,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,LO,1.5,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Y,2,99999,P,3,NA,NA,N,P,G,48,NA,NA,NA,RICHLAND,RICHLAND,TIMS@D31_AG,2020-01-14T14:17:45Z,TIMS@P31_AG,2020-01-14T14:17:45Z,530.916324
3273183,SADASR00247**C,0.322,0.35,S,SR,00247,0.028,09,ADA,ADAMS,697,51,2,24,3,?,?,2018,69,UP,2018,-1,69,69,60,2008,NA,Nul,-1,0,Nul,-1,0,Nul,-1,0,FLEX,NA,NA,NA,0,HF,7,NA,NA,NA,NA,NA,0,NA,NA,E,5,NA,NA,NA,NA,NA,NA,ME,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,LE,3,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LO,2,NA,NA,NA,NA,MF,7.35,N,3,99999,I,5,NA,NA,NA,G,G,20,NA,NA,NA,MONROE,MONROE,TIMS@D31_AG,2020-01-14T14:17:45Z,TIMS@P31_AG,2020-01-14T14:17:45Z,57.700777
3273184,SASDSR00003**C,6.27,6.529,S,SR,00003,0.259,03,ASD,ASHLAND,4349,497,2,20,4,U,?,2022,93,UP,2018,-1,59,59,60,2009,97045,60,109164.82,2020,Nul,0,0,Nul,0,0,COMP,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LO,0.4,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,LO,1.5,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,N,3,99999,T,4,NA,NA,NA,G,G,20,207518,LOUDONVILLE,LOUDONVILLE,NA,NA,TIMS@D31_AG,2020-01-14T14:17:45Z,TIMS@P31_AG,2020-01-14T14:17:45Z,547.215696
3273185,SADASR00041**C,26.74,26.754,S,SR,00041,0.014,09,ADA,ADAMS,5505,504,2,24,3,?,?,2021,90,UP,2018,-1,98,98,60,2014,NA,Nul,-1,0,Nul,-1,0,Nul,-1,0,FLEX,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,LF,2.4,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,N,3,99999,L,5,NA,NA,NA,G,G,24,NA,PEEBLES,PEEBLES,NA,NA,TIMS@D31_AG,2020-01-14T14:17:45Z,TIMS@P31_AG,2020-01-14T14:17:45Z,28.948787
3273186,SADASR00041**C,17.23,17.265,S,SR,00041,0.035,09,ADA,ADAMS,3729,306,2,29,3,?,?,2018,98,UP,2018,-1,98,98,30,2017,100588,50,836786.4,2024,Nul,0,0,Nul,0,0,FLEX,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,LO,1.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,N,3,99999,I,4,NA,NA,NA,G,G,24,NA,NA,NA,TIFFIN,TIFFIN,TIMS@D31_AG,2020-01-14T14:17:45Z,TIMS@P31_AG,2020-01-14T14:17:45Z,72.580701
