OBJECTID,ODOT_DISTRICT,NLFID,COUNTY_CD,COUNTY,ROUTE_TYPE,ROUTE_NBR,ROUTE_SUFFIX,CTL_BEGIN_NBR,CTL_END_NBR,STL_BEGIN_NBR,STL_END_NBR,BACKSTATION_CD,SECTION_LENGTH_NBR,NHS_CD,FUNCTIONAL_CLASS_CD,PRIMARY_SYSTEM_CD,POSTED_SPEED_NBR,FF_SPEED_NBR,TOTAL_LANES_NBR,LANE_WIDTH_NBR,CAPACITY_NBR,TOTAL_VOLUME_NBR,TRUCK_VOLUME_NBR,VMT_NBR,TRUCK_VMT_NBR,VOLUME_PER_LANE_NBR,CONGESTION_INDEX_NBR,VOLUME_CAPACITY_RATIO_NBR,PEAK_HOUR_NBR,VHT_NBR,CONGESTION_DELAY_NBR,PHYSICAL_DELAY_NBR,SPEED_LIMIT_DELAY_NBR,DELAY_RATIO_NBR,FWY_ART_NBR,DIRECTION_1_NBR,DIRECTION_2_NBR,MEDIAN_WIDTH_NBR,DIRECTION_1_HRS_NBR,DIRECTION_2_HRS_NBR,OVERRIDE_1_TXT,OVERRIDE_2_TXT,PKVMT_NBR,EXCEED_VMT_NBR,EXCEED_PKVMT_NBR,CAR_GROWTH_NBR,TRUCK_GROWTH_NBR,LOS_CD,EXD1Y1L_NBR,EXD2Y1L_NBR,EXD1Y1M_NBR,EXD2Y1M_NBR,EXD1Y1U_NBR,EXD2Y1U_NBR,EXD1Y2L_NBR,EXD2Y2L_NBR,EXD1Y2M_NBR,EXD2Y2M_NBR,EXD1Y2U_NBR,EXD2Y2U_NBR,created_user,created_date,last_edited_user,last_edited_date,Shape.STLength()
1200350,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,0,0.334,0,0.334,NA,0.334,N,3,P,60,62,4,48,8446,10438,1043,3486,348,3131,0.22,0.13,16,56.3,0,-1.88,4.47,0,1,2,2,0,0,0,NA,NA,269,0,0,0.81,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,690.959906
1200351,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,0.334,0.658,0.334,0.658,NA,0.324,N,3,P,60,62,4,48,8446,10438,1043,3382,338,3131,0.22,0.13,16,54.61,0,-1.82,4.34,0,1,2,2,0,0,0,NA,NA,261,0,0,0.81,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,671.896004
1200352,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,0.658,1.101,0.658,1.101,NA,0.443,N,3,P,60,62,4,48,8446,10438,1043,4624,462,3131,0.22,0.13,16,74.67,0,-2.49,5.94,0,1,2,2,0,0,0,NA,NA,356,0,0,0.81,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,917.367969
1200353,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,1.101,2.101,1.101,2.101,NA,1,N,3,P,60,62,4,48,8446,10438,1043,10438,1043,3131,0.22,0.13,16,168.55,0,-5.62,13.4,0,1,2,2,0,0,0,NA,NA,804,0,0,0.81,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2066.850694
1200354,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,2.101,2.293,2.101,2.293,NA,0.192,N,3,P,60,62,4,48,8446,8684,1114,1667,214,2728,0.19,0.11,16,26.91,0,-0.9,2.14,0,1,2,2,0,0,0,NA,NA,128,0,0,0.72,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,395.070212
1200355,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,2.293,3.293,2.293,3.293,NA,1,N,3,P,60,62,4,48,8446,8684,1114,8684,1114,2728,0.19,0.11,16,140.16,0,-4.67,11.14,0,1,2,2,0,0,0,NA,NA,669,0,0,0.72,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2066.279492
1200356,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,3.293,4.293,3.293,4.293,NA,1,N,3,P,60,62,4,48,8446,8684,1114,8684,1114,2728,0.19,0.11,16,140.16,0,-4.67,11.14,0,1,2,2,0,0,0,NA,NA,669,0,0,0.72,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2065.464512
1200357,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,4.293,4.345,4.293,4.345,NA,0.052,N,3,P,60,62,4,48,8446,8684,1114,452,58,2728,0.19,0.11,16,7.29,0,-0.24,0.58,0,1,2,2,0,0,0,NA,NA,35,0,0,0.72,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,108.802215
1200358,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,4.345,5.345,4.345,5.345,NA,1,N,3,P,60,62,4,48,8446,8684,1114,8684,1114,2728,0.19,0.11,16,140.16,0,-4.67,11.14,0,1,2,2,0,0,0,NA,NA,669,0,0,0.72,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2065.395272
1200359,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,5.345,6.133,5.345,6.133,NA,0.788,N,3,P,60,62,4,48,8446,8684,1114,6843,878,2728,0.19,0.11,16,110.45,0,-3.68,8.78,0,1,2,2,0,0,0,NA,NA,527,0,0,0.72,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,1628.910912
1200360,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,6.133,6.657,6.133,6.657,NA,0.524,N,3,P,60,62,4,48,8446,6482,957,3397,501,2099,0.15,0.08,16,54.85,0,-1.83,4.36,0,1,2,2,0,0,0,NA,NA,261,0,0,0.59,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,1081.900327
1200361,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,6.657,7.657,6.657,7.657,NA,1,N,3,P,60,62,4,48,8446,6482,957,6482,957,2099,0.15,0.08,16,104.68,0,-3.49,8.32,0,1,2,2,0,0,0,NA,NA,499,0,0,0.65,4,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2066.034358
