Database,Weight
PCR/BRICK_DETER_VALUE,0.8
PCR/PCR_NBR,-0.1
Predicted PCR/PREDICTED_PCR_NBR,-0.1
Predicted PCR/BRICK_DETER_VALUE,0.8
PCR/CORNER_BREAK_VALUE,0.7
Predicted PCR/CORNER_BREAK_VALUE,0.5
PCR/BLOCK_TRANS_CRK_VALUE,0.7
Predicted PCR/BLOCK_TRANS_CRK_VALUE,0.5
PCR/CROWN_VALUE,0.6
Predicted PCR/CROWN_VALUE,0.3
PCR/JOINT_EROSION_VALUE,0.7
Predicted PCR/JOINT_EROSION_VALUE,0.5
PCR/PUNCHOUT_VALUE,0.7
Predicted PCR/PUNCHOUT_VALUE,0.5
Predicted PCR/RANDOM_CRACKING_VALUE,0.5
PCR/RANDOM_CRACKING_VALUE,0.7
PCR/RAVELING_VALUE,0.6
Predicted PCR/RAVELING_VALUE,0.4
PCR/MAP_CRACKING_VALUE,0.7
Predicted PCR/MAP_CRACKING_VALUE,0.5
PCR/PATCHING_VALUE,0.6
Predicted PCR/PATCHING_VALUE,0.4
PCR/SURFACE_DETER_VALUE,0.8
Predicted PCR/SURFACE_DETER_VALUE,0.5
PCR/THERMAL_CRACKING_VALUE,0.7
Predicted PCR/THERMAL_CRACKING_VALUE,0.5
